,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
innovations[120],0.08,0.97,-1.693,1.855,0.016,0.019,3807.0,2215.0,1.0
innovations[121],0.083,0.988,-1.69,2.029,0.016,0.019,3816.0,2152.0,1.0
innovations[122],0.141,0.982,-1.756,1.91,0.015,0.021,4163.0,2079.0,1.0
innovations[123],0.194,0.945,-1.655,1.879,0.015,0.019,3934.0,2270.0,1.0
innovations[124],0.223,0.944,-1.589,1.99,0.015,0.018,3941.0,1934.0,1.0
innovations[125],0.294,0.976,-1.579,2.051,0.016,0.023,3707.0,1905.0,1.0
innovations[126],0.291,0.932,-1.43,2.089,0.014,0.017,4235.0,2284.0,1.0
innovations[127],0.351,0.964,-1.418,2.164,0.015,0.02,4260.0,2064.0,1.0
innovations[128],0.385,0.957,-1.393,2.212,0.016,0.019,3450.0,1843.0,1.0
innovations[129],0.452,0.945,-1.22,2.247,0.017,0.018,3246.0,2246.0,1.0
innovations[130],0.518,0.952,-1.217,2.362,0.017,0.017,3322.0,2259.0,1.0
innovations[131],0.652,0.94,-1.118,2.408,0.014,0.017,4584.0,2501.0,1.0
innovations[132],0.723,0.956,-1.12,2.446,0.014,0.02,4452.0,2197.0,1.0
innovations[133],-0.548,0.927,-2.222,1.299,0.017,0.017,3022.0,1934.0,1.0
innovations[134],-0.768,0.952,-2.568,1.022,0.016,0.018,3482.0,2046.0,1.0
innovations[135],-0.662,0.975,-2.405,1.18,0.017,0.018,3330.0,2119.0,1.0
innovations[136],-0.612,0.956,-2.302,1.27,0.017,0.019,3247.0,1998.0,1.0
innovations[137],-0.537,0.952,-2.353,1.21,0.015,0.019,4073.0,2130.0,1.0
innovations[138],-0.485,0.972,-2.284,1.352,0.015,0.02,4131.0,2224.0,1.0
innovations[139],-0.44,0.94,-2.153,1.333,0.014,0.019,4310.0,2227.0,1.0
innovations[140],-0.412,0.979,-2.226,1.412,0.017,0.021,3358.0,2025.0,1.0
innovations[141],-0.385,0.905,-2.104,1.305,0.014,0.018,4432.0,2347.0,1.0
innovations[142],-0.347,0.972,-2.145,1.542,0.016,0.018,3857.0,2368.0,1.0
innovations[143],-0.347,0.962,-2.047,1.545,0.015,0.018,4070.0,2319.0,1.0
innovations[144],-0.286,0.972,-1.975,1.598,0.015,0.017,4166.0,2167.0,1.0
innovations[145],-0.275,0.99,-2.142,1.531,0.016,0.02,3762.0,2264.0,1.0
innovations[146],-0.273,0.982,-2.162,1.545,0.016,0.021,3805.0,2050.0,1.0
innovations[147],-0.252,0.968,-2.218,1.467,0.015,0.018,4309.0,2037.0,1.0
innovations[148],-0.223,1.002,-2.133,1.665,0.016,0.021,4141.0,2056.0,1.0
innovations[149],-0.207,0.972,-2.038,1.628,0.016,0.02,3871.0,2236.0,1.0
innovations[150],-0.203,0.997,-2.023,1.673,0.014,0.022,5161.0,2114.0,1.0
innovations[151],-0.175,1.014,-1.965,1.778,0.017,0.019,3515.0,1946.0,1.0
innovations[152],-0.17,0.977,-2.006,1.672,0.016,0.02,3535.0,1690.0,1.0
innovations[153],-0.144,1.013,-2.03,1.828,0.016,0.02,4221.0,2284.0,1.0
innovations[154],-0.131,0.983,-2.039,1.696,0.015,0.022,4211.0,1791.0,1.0
innovations[155],-0.142,0.963,-2.038,1.585,0.016,0.019,3571.0,2226.0,1.0
innovations[156],-0.143,0.982,-2.069,1.65,0.015,0.018,4085.0,2157.0,1.0
innovations[157],-0.111,0.979,-1.945,1.695,0.016,0.018,3843.0,2239.0,1.0
innovations[158],-0.063,0.996,-1.856,1.797,0.016,0.021,4073.0,1761.0,1.0
innovations[159],-0.064,0.939,-1.898,1.591,0.015,0.018,3844.0,2175.0,1.0
innovations[160],-0.052,1.009,-1.767,1.957,0.016,0.021,4179.0,2080.0,1.0
innovations[161],-0.051,1.003,-1.879,1.832,0.017,0.019,3337.0,2185.0,1.0
innovations[162],-0.052,1.017,-2.07,1.777,0.017,0.023,3756.0,1803.0,1.0
innovations[163],-0.051,1.0,-1.837,1.885,0.016,0.022,3934.0,1947.0,1.0
innovations[164],-0.018,0.966,-1.788,1.796,0.016,0.02,3702.0,2176.0,1.0
innovations[165],0.001,0.999,-1.865,1.878,0.016,0.02,3904.0,2169.0,1.0
innovations[166],-0.39,0.916,-2.132,1.244,0.014,0.016,4063.0,2367.0,1.0
innovations[167],0.143,0.878,-1.427,1.95,0.016,0.016,2893.0,2225.0,1.0
innovations[168],-0.044,0.892,-1.808,1.499,0.015,0.016,3470.0,2263.0,1.0
innovations[169],-0.24,0.914,-1.892,1.578,0.018,0.018,2642.0,1995.0,1.0
innovations[170],-0.125,0.913,-1.979,1.427,0.015,0.018,3474.0,2109.0,1.0
innovations[171],0.351,0.891,-1.354,2.003,0.015,0.017,3524.0,2209.0,1.0
innovations[172],0.144,0.913,-1.519,1.882,0.015,0.019,3499.0,2054.0,1.0
innovations[173],-0.008,0.869,-1.587,1.617,0.016,0.018,2899.0,1636.0,1.0
innovations[174],-0.153,0.883,-1.772,1.492,0.015,0.017,3398.0,2321.0,1.0
innovations[175],-0.333,0.922,-2.083,1.395,0.013,0.018,4817.0,2341.0,1.0
innovations[176],-0.254,0.91,-1.92,1.5,0.015,0.018,3732.0,2236.0,1.0
innovations[177],-0.157,0.897,-1.931,1.407,0.013,0.016,4556.0,2266.0,1.0
innovations[178],-0.105,0.898,-1.746,1.631,0.014,0.017,4167.0,2151.0,1.0
innovations[179],-0.108,0.896,-1.844,1.482,0.014,0.016,3871.0,1963.0,1.0
innovations[180],-0.075,0.891,-1.637,1.678,0.015,0.015,3295.0,1811.0,1.0
innovations[181],-0.413,0.928,-2.146,1.333,0.015,0.018,3699.0,2065.0,1.0
innovations[182],-0.444,0.924,-2.244,1.189,0.016,0.017,3546.0,2000.0,1.0
innovations[183],-0.159,0.925,-1.766,1.718,0.016,0.016,3513.0,2182.0,1.0
innovations[184],0.103,0.931,-1.633,1.828,0.015,0.018,4082.0,2090.0,1.0
innovations[185],0.024,0.918,-1.623,1.789,0.014,0.017,4603.0,2522.0,1.0
innovations[186],-0.065,0.923,-1.89,1.56,0.016,0.017,3580.0,2330.0,1.0
